run,lead,threshold,tp,fp,fn,actual_frequency,forecast_frequency,recall,precision,csi
glstm_sweep_20260907_090603,all,1.0,213678,369267,6,0.36645572876472704,0.9997170345217884,0.9999719211546021,0.36654915986928444,0.36654538717662377
glstm_sweep_20260907_090603,all,10.0,66007,350037,15509,0.13979523589031229,0.7134914510126734,0.8097428725648952,0.15865389237676783,0.15295224456787462
glstm_sweep_20260907_090603,all,35.0,0,0,14492,0.024852943698444548,0.0,0.0,,0.0
glstm_sweep_20260907_090603,1,1.0,42667,73790,6,0.36590866217351786,0.9985851726089418,0.9998593958709254,0.3663755720995732,0.36635669697672224
glstm_sweep_20260907_090603,1,10.0,13406,47304,2837,0.13927903826036253,0.5205707327948415,0.8253401465246568,0.22082029319716687,0.2109619651596456
glstm_sweep_20260907_090603,1,35.0,0,0,2894,0.024815214968016325,0.0,0.0,,0.0
glstm_sweep_20260907_090603,2,1.0,42704,73918,0,0.3661744782288076,1.0,1.0,0.3661744782288076,0.3661744782288076
glstm_sweep_20260907_090603,2,10.0,13345,72589,2941,0.1396477508531838,0.7368592546860798,0.8194154488517745,0.15529359741196733,0.150154711673699
glstm_sweep_20260907_090603,2,35.0,0,0,2896,0.024832364390938246,0.0,0.0,,0.0
glstm_sweep_20260907_090603,3,1.0,42749,73873,0,0.36656034024455075,1.0,1.0,0.36656034024455075,0.36656034024455075
glstm_sweep_20260907_090603,3,10.0,13386,77079,2929,0.13989641748555162,0.7757112723156866,0.8204719583205639,0.14796882772342895,0.14332826519904918
glstm_sweep_20260907_090603,3,35.0,0,0,2900,0.02486666323678208,0.0,0.0,,0.0
glstm_sweep_20260907_090603,4,1.0,42766,73856,0,0.3667061103393871,1.0,1.0,0.3667061103393871,0.3667061103393871
glstm_sweep_20260907_090603,4,10.0,12987,77187,3344,0.14003361286892696,0.7732160312805474,0.7952360541301818,0.14402155832058022,0.13887166107059604
glstm_sweep_20260907_090603,4,35.0,0,0,2900,0.02486666323678208,0.0,0.0,,0.0
glstm_sweep_20260907_090603,5,1.0,42792,73830,0,0.36692905283737204,1.0,1.0,0.36692905283737204,0.36692905283737204
glstm_sweep_20260907_090603,5,10.0,12883,75878,3458,0.14011935998353656,0.7610999639862118,0.7883850437549722,0.1451425738781672,0.13970006180938851
glstm_sweep_20260907_090603,5,35.0,0,0,2902,0.024883812659704,0.0,0.0,,0.0
glstm_sweep_20260907_100511,all,1.0,213678,369267,6,0.36645572876472704,0.9997170345217884,0.9999719211546021,0.36654915986928444,0.36654538717662377
glstm_sweep_20260907_100511,all,10.0,66007,350037,15509,0.13979523589031229,0.7134914510126734,0.8097428725648952,0.15865389237676783,0.15295224456787462
glstm_sweep_20260907_100511,all,35.0,0,0,14492,0.024852943698444548,0.0,0.0,,0.0
glstm_sweep_20260907_100511,1,1.0,42667,73790,6,0.36590866217351786,0.9985851726089418,0.9998593958709254,0.3663755720995732,0.36635669697672224
glstm_sweep_20260907_100511,1,10.0,13406,47304,2837,0.13927903826036253,0.5205707327948415,0.8253401465246568,0.22082029319716687,0.2109619651596456
glstm_sweep_20260907_100511,1,35.0,0,0,2894,0.024815214968016325,0.0,0.0,,0.0
glstm_sweep_20260907_100511,2,1.0,42704,73918,0,0.3661744782288076,1.0,1.0,0.3661744782288076,0.3661744782288076
glstm_sweep_20260907_100511,2,10.0,13345,72589,2941,0.1396477508531838,0.7368592546860798,0.8194154488517745,0.15529359741196733,0.150154711673699
glstm_sweep_20260907_100511,2,35.0,0,0,2896,0.024832364390938246,0.0,0.0,,0.0
glstm_sweep_20260907_100511,3,1.0,42749,73873,0,0.36656034024455075,1.0,1.0,0.36656034024455075,0.36656034024455075
glstm_sweep_20260907_100511,3,10.0,13386,77079,2929,0.13989641748555162,0.7757112723156866,0.8204719583205639,0.14796882772342895,0.14332826519904918
glstm_sweep_20260907_100511,3,35.0,0,0,2900,0.02486666323678208,0.0,0.0,,0.0
glstm_sweep_20260907_100511,4,1.0,42766,73856,0,0.3667061103393871,1.0,1.0,0.3667061103393871,0.3667061103393871
glstm_sweep_20260907_100511,4,10.0,12987,77187,3344,0.14003361286892696,0.7732160312805474,0.7952360541301818,0.14402155832058022,0.13887166107059604
glstm_sweep_20260907_100511,4,35.0,0,0,2900,0.02486666323678208,0.0,0.0,,0.0
