station,train_mean_mm
ACEGUA,3.6432833850655735
ALEGRETE,4.593243928322168
BAGE,4.004205391757653
BAGE - CENTRO,4.004205391757653
BENTO GONCALVES,5.638455582401467
CACAPAVA DO SUL,4.576117667535934
CACHOEIRA DO SUL,4.39524675545336
CACHOEIRINHA,4.297706901587784
CAMBARA DO SUL,4.957198762274408
CAMPO BOM,4.671228438940078
CANELA,5.41338417746804
CANGUCU,3.9449531418601853
CAXIAS DO SUL - AEROPORTO,5.598220922269919
CAXIAS DO SUL - CRIUVA,4.967579468043907
CHARQUEADAS,4.198548626590084
CRUZ ALTA,4.627803369671389
DOM PEDRITO,3.9079378448732696
ENCRUZILHADA DO SUL,4.232833116503923
ERECHIM,5.569739693547601
FREDERICO WESTPHALEN,5.456815645292208
HERVAL,3.637335474677737
IBIRUBA,5.050956346813776
JAGUARAO,3.45022354514275
LAGOA VERMELHA,5.266934495258432
MINAS DO LEAO,4.3516131441565555
MONTENEGRO,4.820872079535257
MOSTARDAS,3.3307065883407514
PALMEIRA DAS MISSOES,5.385892733141764
PARQUE ELDORADO,4.198548626590084
PASSO FUNDO,5.424340634063153
PINHEIRO MACHADO,3.9461113865143713
PORTO ALEGRE - BELEM NOVO,3.956107518178365
PORTO ALEGRE - JARDIM BOTANICO,4.238732536452492
QUARAI,4.2809743804235385
RIO GRANDE,3.6864933031991978
RIO PARDO,4.798594045321035
ROLANTE,4.699771760262369
SANTA MARIA,4.854298466421002
SANTA MARIA DO HERVAL,5.596354868839648
SANTA ROSA,5.593556904550099
SANTA VITORIA DO PALMAR (CENTRO),3.3936889701326423
SANTA VITORIA DO PALMAR (RESERVA DO TAIM),3.29436528636682
SANTANA DA BOA VISTA,4.084792795579615
SANTANA DO LIVRAMENTO,4.139159928961527
SANTIAGO,5.329387109795969
SANTO AUGUSTO,5.3086889236171695
SAO BORJA,4.684575696793218
SAO FRANCISCO DE PAULA,5.781455895238778
SAO GABRIEL,4.4642409019697835
SAO JOSE DOS AUSENTES,5.816968131542374
SAO LUIZ GONZAGA,5.29557230163767
SAO VICENTE DO SUL,4.297373335166495
SAPUCAIA DO SUL,4.79829554325156
SERAFINA CORREA,4.9476139393970815
SERTAO SANTANA,4.50905957293954
SOLEDADE,5.16750633645451
Santa Vitoria do Palmar - Barra do Chui,3.245434077508243
TORRES,4.270359105250424
TRAMANDAI,3.959682412714906
TUPANCIRETA,4.748780962876078
URUGUAIANA,4.243620863124838
VACARIA,5.026701922163959
