month,station,train_mean_mm
1,ACEGUA,3.334249219586772
1,ALEGRETE,4.404855839667782
1,BAGE,3.895107296205336
1,BAGE - CENTRO,3.895107296205336
1,BENTO GONCALVES,6.801490829836938
1,CACAPAVA DO SUL,4.323697378558498
1,CACHOEIRA DO SUL,4.271175111493757
1,CACHOEIRINHA,4.731212412157366
1,CAMBARA DO SUL,6.375033993874827
1,CAMPO BOM,5.557642829033636
1,CANELA,6.72893802965841
1,CANGUCU,3.9393877713910994
1,CAXIAS DO SUL - AEROPORTO,6.795894730475641
1,CAXIAS DO SUL - CRIUVA,5.211077878552098
1,CHARQUEADAS,4.215679822429534
1,CRUZ ALTA,4.576617686979232
1,DOM PEDRITO,3.592570943217124
1,ENCRUZILHADA DO SUL,4.49029476411881
1,ERECHIM,5.869893297072379
1,FREDERICO WESTPHALEN,5.1908618019473165
1,HERVAL,3.2105167065897295
1,IBIRUBA,5.037502888710268
1,JAGUARAO,3.0538434943845196
1,LAGOA VERMELHA,5.858501599680993
1,MINAS DO LEAO,4.267643055608196
1,MONTENEGRO,5.467110583859105
1,MOSTARDAS,2.494599550001083
1,PALMEIRA DAS MISSOES,5.370812550667794
1,PARQUE ELDORADO,4.215679822429534
1,PASSO FUNDO,5.503100252920581
1,PINHEIRO MACHADO,3.9614751531231787
1,PORTO ALEGRE - BELEM NOVO,3.9284979143450336
1,PORTO ALEGRE - JARDIM BOTANICO,4.568660451519873
1,QUARAI,3.707803072467927
1,RIO GRANDE,3.0361346583212576
1,RIO PARDO,5.057553129811441
1,ROLANTE,5.776253919447622
1,SANTA MARIA,5.1251620938701015
1,SANTA MARIA DO HERVAL,7.059031917202857
1,SANTA ROSA,5.6283050967801005
1,SANTA VITORIA DO PALMAR (CENTRO),2.7888152714698546
1,SANTA VITORIA DO PALMAR (RESERVA DO TAIM),2.5440319814989643
1,SANTANA DA BOA VISTA,3.9620610975450083
1,SANTANA DO LIVRAMENTO,3.556509171762774
1,SANTIAGO,5.2217600730157665
1,SANTO AUGUSTO,5.17531604536118
1,SAO BORJA,4.8446044806511175
1,SAO FRANCISCO DE PAULA,7.78266260316295
1,SAO GABRIEL,4.113221841473734
1,SAO JOSE DOS AUSENTES,8.319205341800567
1,SAO LUIZ GONZAGA,5.602280001486501
1,SAO VICENTE DO SUL,4.195482500137821
